accession	classification	n_coord_his	af3_cu1_assignment	af3_cu1_dist_canonical	af3_cu1_plddt	af3_cu2_assignment	af3_cu2_dist_canonical	af3_cu2_plddt	af3_cu_cu_dist	m3d_n_cu_sites	m3d_n_total_sites	m3d_cu1_closest_cu_dist	m3d_cu1_closest_cu_prob	m3d_cu1_closest_any_dist	m3d_cu1_closest_any_element	m3d_cu2_closest_cu_dist	m3d_cu2_closest_cu_prob	m3d_cu2_closest_any_dist	m3d_cu2_closest_any_element	m3d_CuA_cu_dist	m3d_CuA_cu_prob	m3d_CuA_any_dist	m3d_CuA_any_element	m3d_CuB_cu_dist	m3d_CuB_cu_prob	m3d_CuB_any_dist	m3d_CuB_any_element
A0ABR1U9F9	mononuclear	5	CuB	1.13	81.9	CuA	2.28	58.1	4.04	2	46	0.84	0.730	0.84	CU	0.26	0.430	0.26	CU								
A0ABR1VP59	mononuclear	5	CuA	0.51	81.7	CuB	1.75	64.9	3.79	3	24	0.56	0.940	0.56	CU	1.28	0.580	1.28	CU								
A0ABR1X4W4	mononuclear	5	CuA	0.29	90.3	CuB	0.51	89.4	4.03	3	30	0.47	0.920	0.47	CU	0.90	0.970	0.90	CU								
A0ABR1YMI8	binuclear	5	CuB	0.61	95.7	CuA	0.48	90.5	4.24	2	16	0.78	0.960	0.78	CU	2.85	0.970	2.85	CU								
A0ABR1YVN4	mononuclear	5	CuB	0.67	92.4	CuA	0.42	82.2	4.15	3	17	0.46	0.960	0.46	CU	1.21	0.410	1.21	CU								
A0ABR2VUU4	no_cu	2	neither		45.2	neither		44.2	26.76	0	23											1.50	MG			3.63	MG
A0ABR2W3C9	mononuclear	2	CuA	0.46	93.2	neither		74.8	16.06	1	14	0.53	0.340	0.53	CU	16.23	0.340	1.70	X			1.71	X			3.22	X
A0ABR2W3S2	no_cu	4	CuA	0.89	92.4	CuB	0.66	91.7	3.92	2	22	0.18	0.590	0.18	CU	1.61	0.550	1.61	CU								
A0ABR2W902	no_cu	2	neither		81.4	CuB	1.52	71.5	16.6	0	20			5.41	X			1.66	X								
A0ABR3CFI6	mononuclear	5	CuB	0.47	95.8	CuA	0.48	90.6	3.74	3	19	0.84	0.740	0.84	CU	1.34	0.880	1.34	CU								
A0ABR3D6M0	mononuclear	5	CuB	0.65	98.1	CuA	0.50	94.9	3.94	3	21	0.52	0.950	0.52	CU	0.47	0.590	0.47	CU								
A0ABR3FXT6	mononuclear	4	CuA	0.12	95.1	CuB	0.31	85.2	4.0	1	17	0.11	0.980	0.11	CU	4.02	0.980	2.15	X								
A0ABR3QSB3	binuclear	5	CuA	0.79	76.0	CuB	1.49	68.7	3.6	3	32	0.66	0.820	0.66	CU	1.13	0.760	1.13	CU								
A0ABR3TFZ3	mononuclear	5	CuB	0.47	95.5	CuA	0.66	91.7	4.2	2	12	0.32	0.870	0.32	CU	1.65	0.750	1.65	CU								
A0ABR3U3E6	mononuclear	5	CuB	0.60	95.8	CuA	0.63	88.0	4.01	1	21	0.74	0.870	0.74	CU	3.37	0.870	3.37	CU								
A0ABR3UTG0	mononuclear	5	CuA	0.62	97.0	CuB	0.83	95.6	3.77	2	24	0.55	1.000	0.55	CU	1.86	1.000	1.86	CU								
A0ABR4BR18	mononuclear	5	CuA	0.54	81.3	CuB	0.44	71.2	3.78	3	48	0.48	0.640	0.48	CU	0.40	0.640	0.40	CU								
A0ABR4C2T6	mononuclear	5	CuA	0.53	93.1	CuB	0.56	89.2	3.74	2	36	0.42	0.990	0.42	CU	0.67	0.860	0.67	CU								
A0ABR4CF27	mononuclear	5	CuA	0.65	96.7	CuB	0.58	94.7	3.97	1	27	0.38	0.980	0.38	CU	3.75	0.980	3.31	X								
A0ABR4EPU0	mononuclear	5	CuA	0.57	94.5	CuB	0.88	67.0	5.24	2	18	0.32	1.000	0.32	CU	3.23	0.840	3.23	CU								
A0ABR4ES42	no_cu	3	neither		93.0	neither		42.4	5.27	1	17	0.47	0.990	0.47	CU	5.00	0.990	5.00	CU								
A0ABR4K145	binuclear	5	CuB	0.62	74.5	CuA	1.25	66.8	4.86	4	55	0.33	0.620	0.33	CU	0.92	0.620	0.92	CU								
A0ABR4NDE5	no_cu	1	neither		76.0	neither		50.0	44.03	0	28											1.38	X			4.00	X
A0ABR7QDC1	mononuclear	3	CuB	0.99	96.9	neither		79.9	26.83	0	9			0.58	ZN			6.00	X								
A0ABR7X9J7	mononuclear	5	CuB	0.53	97.7	CuA	0.85	95.1	4.29	3	26	0.23	0.860	0.23	CU	0.90	0.780	0.90	CU								
A0ABR8L1I5	no_cu	2	CuA	1.53	93.2	neither		80.3	30.17	0	15			1.27	X			15.14	X								
A0ABR9BSA8	mononuclear	5	CuB	0.28	90.9	CuA	0.93	81.6	4.34	2	21	0.12	0.980	0.12	CU	0.89	0.950	0.89	CU								
A0ABS8JIA8	mononuclear	5	CuB	0.40	96.4	CuA	0.81	86.8	4.38	2	27	0.75	0.770	0.75	CU	2.26	0.460	2.26	CU								
A0ABS8JID1	mononuclear	5	CuB	0.20	96.2	CuA	1.08	88.9	4.69	3	30	0.34	0.900	0.34	CU	0.79	0.820	0.79	CU								
A0ABT9CR60	mononuclear	5	CuB	0.12	97.2	CuA	0.66	92.8	4.22	3	34	0.51	0.980	0.51	CU	1.63	0.810	1.63	CU								
A0ABV0AFJ4	no_cu	2	CuA	1.74	91.5	neither		74.5	22.87	0	19			2.31	X			0.66	X								
A0ABV6RIB9	mononuclear	5	CuB	0.19	96.7	CuA	0.81	87.7	4.43	2	29	0.64	0.990	0.64	CU	2.05	0.960	2.05	CU								
A0ABV6RUK0	mononuclear	5	CuB	0.17	95.8	CuA	0.88	84.8	4.61	3	28	0.31	0.910	0.31	CU	0.72	0.660	0.72	CU								
A0ABV9FV84	no_cu	2	CuB	0.50	76.9	neither		28.4	14.11	2	28	1.17	0.760	1.17	CU	15.10	0.760	0.77	X								
A0ABV9I266	mononuclear	2	CuB	1.08	97.8	neither		81.2	13.93	0	13			0.92	ZN			1.33	X	4.61	0.980	4.61	CU	1.39	0.980	1.39	CU
A0ABW1EV91	binuclear	5	CuB	0.37	96.5	CuA	0.74	92.9	4.05	2	29	0.13	0.910	0.13	CU	0.50	0.650	0.50	CU								
A0ABW2RRB3	mononuclear	5	CuB	0.42	95.9	CuA	0.37	87.5	3.62	2	29	2.67	0.750	2.67	CU	0.99	0.750	0.99	CU								
A0ABW9S031	binuclear	5	CuB	0.41	93.3	CuA	0.61	89.7	4.12	3	38	0.74	0.910	0.74	CU	0.53	0.830	0.53	CU								
A0ABX5RWM9	mononuclear	5	CuB	0.16	97.2	CuA	0.76	91.5	4.41	3	27	0.26	0.970	0.26	CU	0.55	0.950	0.55	CU								
A0ABX5UDS5	mononuclear	5	CuB	0.18	97.3	CuA	0.88	91.6	4.66	3	36	0.74	0.870	0.74	CU	0.52	0.800	0.52	CU								
A0ABX6FJC2	mononuclear	5	CuB	0.23	97.6	CuA	0.91	92.4	4.76	4	45	1.28	0.900	1.28	CU	0.99	0.880	0.99	CU								
A0ABY0G5N1	mononuclear	5	CuA	0.32	96.8	CuB	0.46	94.5	3.93	2	23	0.70	0.860	0.70	CU	2.34	0.810	2.34	CU								
A0ABY2RLZ4	mononuclear	4	CuB	0.37	93.1	CuA	1.62	45.4	3.0	2	31	0.55	0.970	0.55	CU	1.23	0.760	1.23	CU								
A0ABY7EU49	no_cu	2	neither		65.8	neither		48.5	20.81	0	28											2.05	X			0.95	X
A0ABZ1SYY9	no_cu	2	CuA	1.50	88.6	neither		74.8	31.95	0	16			1.43	X			1.88	X								
A0ACB1AYY7	no_cu	3	neither		88.8	neither		69.5	24.27																		
A0ACB6QFG3	no_cu	2	CuA	1.01	86.1	neither		79.3	23.98	0	27			0.72	X			8.73	X								
A0ACB7IQP8	no_cu	4	CuB	1.45	77.4	CuA	2.35	56.7	3.19	2	16	1.86	0.770	1.86	CU	2.02	0.770	2.02	CU								
A0ACB8HCS0	mononuclear	4	CuA	0.72	94.8	CuB	0.27	88.4	3.92	3	16	1.61	0.560	1.61	CU	0.30	0.790	0.30	CU								
A0ACC0W512	no_cu	1	neither		68.5	neither		51.8	46.52	0	40											7.43	X			4.75	X
A0ACC1A5Y2	mononuclear	5	CuB	0.53	78.7	CuA	3.08	37.0	6.31	1	29	0.36	0.930	0.36	CU	6.56	0.930	6.46	X								
A0ACC1QNQ0	mononuclear	5	CuA	0.41	92.0	CuB	0.53	91.0	3.86	2	20	0.98	0.620	0.98	CU	0.79	0.510	0.79	CU								
A0ACC1SFB7	no_cu	4	CuB	4.77	88.7	neither		46.2	3.6	1	39	0.63	0.820	0.63	CU	3.92	0.820	3.92	CU								
A0ACC2HR65	binuclear	5	CuB	0.74	97.4	CuA	0.81	93.1	4.12	1	20	0.59	0.970	0.59	CU	4.42	0.970	0.30	X								
A0ACC2ID33	mononuclear	5	CuA	0.65	94.7	CuB	0.54	94.8	4.04	2	19	0.68	0.940	0.68	CU	0.84	0.760	0.84	CU								
A0ACC2JBL3	mononuclear	5	CuB	0.74	96.6	CuA	0.35	90.4	3.44	2	25	0.40	0.970	0.40	CU	0.84	0.920	0.84	CU								
A0ACC2S0P5	no_cu	3	CuA	0.49	92.0	CuB	1.05	71.3	3.92	0	18			0.44	X			1.73	X								
A0ACC2S7C6	no_cu	1	neither		73.1	neither		75.1	29.42	0	20			1.28	X			4.08	X								
A0ACC2T2P1	no_cu	1	neither		53.6	neither		45.2	39.65	0	11			6.00	X			7.06	X								
A0ACC2T3L9	no_cu	2	neither		74.1	neither		47.2	15.26	0	22			16.38	X			6.42	X								
A0ACC2T4I7	no_cu	2	neither		74.7	neither		69.2	38.16	0	11											3.18	X			0.87	X
A0ACC2TJ92	no_cu	2	neither		66.4	neither		50.6	23.32	0	23			2.42	X			5.37	X								
A0ACC2TJW4	no_cu	2	neither		72.1	neither		55.8	28.26	0	20			6.21	X			4.14	X								
A0ACC2TU75	no_cu	2	neither		56.0	neither		73.2	38.77	0	13			5.95	X			5.11	X								
A0ACC2TZL3	no_cu	2	CuB	1.99	58.0	neither		40.9	27.73	0	20			2.44	X			5.22	X								
A0ACC2U0B8	mononuclear	4	CuB	0.82	96.2	CuA	1.14	82.2	4.61	3	26	0.80	0.420	0.80	CU	1.80	0.410	1.80	CU								
A0ACC2U405	no_cu	3	CuB	1.59	81.3	neither		47.7	20.33	0	17			1.18	ZN			7.62	X								
A0ACC2U767	no_cu	3	CuA	0.49	90.7	CuB	1.24	70.0	3.75	0	16			0.71	X			3.06	X								
A0ACC2U7B3	mononuclear	4	CuA	1.10	89.8	CuB	0.72	92.4	4.52	2	29	3.02	0.680	3.02	CU	1.31	0.730	1.31	CU								
A0ACC3CBK0	no_cu	0	neither		17.6	neither		3.0	39.77	0	27			9.34	X			3.02	X								
A0ACC3CBV5	no_cu	2	CuA	0.64	81.7	neither		66.5	25.76	0	21			5.98	X			0.84	X								
A0ACC3CEB8	no_cu	2	CuA	0.72	94.3	neither		41.3	12.29	0	22			1.50	X			9.12	X								
A0ACC3DNN8	mononuclear	5	CuA	0.38	95.3	CuB	0.56	94.0	3.6	3	25	0.78	0.820	0.78	CU	0.51	0.780	0.51	CU								
A0ACC3SCJ8	mononuclear	5	CuA	0.36	95.7	CuB	0.60	93.7	3.7	2	28	0.41	0.980	0.41	CU	0.79	0.820	0.79	CU								
A0ACC3YJX9	mononuclear	5	CuA	0.62	97.6	CuB	0.64	95.7	4.03	3	20	0.32	0.980	0.32	CU	1.01	0.940	1.01	CU								
A0ACD1IG11	mononuclear	5	CuA	0.27	91.1	CuB	0.62	81.0	4.5	2	21	1.06	0.900	1.06	CU	0.87	0.400	0.87	CU								
A0ACD3ADA0	mononuclear	4	CuB	0.21	91.8	CuA	1.64	57.3	5.19	1	42	0.45	0.900	0.45	CU	5.24	0.900	5.24	CU								
A0ACD3YVM0	mononuclear	5	CuB	0.73	95.6	CuA	0.45	91.2	4.17	3	16	0.75	0.620	0.75	CU	0.99	0.710	0.99	CU								
A2RBK8	mononuclear	4	CuB	0.61	89.4	CuA	0.67	55.2	3.91	1	25	0.54	0.990	0.54	CU	4.20	0.990	1.25	X								
A3K3J4	mononuclear	5	CuB	0.26	96.4	CuA	0.98	88.5	4.51	4	25	0.35	0.940	0.35	CU	0.58	0.880	0.58	CU								
A7RKE4	mononuclear	3	CuA	0.33	95.1	neither		77.6	7.79	1	19	0.49	0.610	0.49	CU	7.35	0.610	1.32	ZN	0.76	0.720	0.76	CU	4.06	0.720	3.12	X
A8N3S0	mononuclear	5	CuB	0.58	96.4	CuA	0.86	85.3	4.36	2	25	0.23	0.930	0.23	CU	0.84	0.730	0.84	CU								
A8N4B1	mononuclear	1	neither		45.4	neither		31.4	14.74	1	57									3.81	0.950	2.06	X	0.58	0.950	0.58	CU
B2WH32	mononuclear	4	CuB	1.09	92.4	CuA	0.60	66.9	4.07	2	20	0.43	0.980	0.43	CU	1.67	0.500	1.67	CU								
B9XQZ3	mononuclear	5	CuB	0.29	69.8	CuA	0.59	72.2	4.49	6	36	0.93	0.820	0.93	CU	0.37	0.970	0.37	CU								
C3YG81	no_cu	1	neither		78.5	neither		57.0	27.24	0	19											7.75	ZN			9.40	ZN
C8CHT1	binuclear	5	CuB	0.88	94.6	CuA	0.80	85.3	5.02	3	10	0.91	0.930	0.91	CU	0.74	0.970	0.74	CU								
D0NAA1	no_cu	1	CuB	3.61	65.4	neither		73.7	19.18	0	13			1.52	X			2.59	X								
E3Q7T1	no_cu	2	CuB	0.60	94.5	neither		62.2	17.17	1	24	0.36	0.190	0.36	CU	17.50	0.190	14.40	X								
E3QWQ8	mononuclear	5	CuA	0.43	94.2	CuB	0.27	85.2	3.9	1	17	0.71	0.960	0.71	CU	3.93	0.960	3.93	CU								
E5Q8T0	binuclear	5	CuB	0.57	91.2	CuA	0.91	89.9	4.04	2	36	1.87	0.890	1.87	CU	0.81	0.720	0.81	CU								
E5SC69	no_cu	2	neither		67.1	neither		52.9	40.14	0	27											2.76	X			4.80	X
E9FAB7	mononuclear	5	CuA	0.38	96.4	CuB	0.50	94.5	3.86	2	19	0.74	0.980	0.74	CU	1.57	0.980	1.57	CU								
F0XF66	no_cu	1	neither		70.3	neither		37.7	4.69	0	47											1.41	X			4.37	X
F0Y382	binuclear	3	CuB	0.48	83.5	neither		36.8	9.28	3	41	0.75	0.850	0.75	CU	5.98	0.430	1.07	ZN								
F0YJP7	mononuclear	5	CuB	0.33	79.9	CuA	0.98	62.6	4.54	2	52	3.24	0.350	3.24	CU	0.83	0.690	0.83	CU								
F1KXG5	mononuclear	4	CuA	1.53	75.4	neither		44.9	34.0	1	43	1.82	0.110	1.82	CU	33.21	0.110	5.16	X	2.71	0.250	2.71	CU	1.46	0.250	1.46	CU
F6G5J6	binuclear	5	CuB	0.95	88.6	CuA	0.91	87.9	4.31	2	20	1.48	0.630	1.48	CU	0.67	0.900	0.67	CU								
F9X2G9	mononuclear	5	CuA	0.50	89.4	CuB	0.68	61.8	4.7	4	24	0.50	0.970	0.50	CU	0.99	0.440	0.99	CU								
F9XBE5	mononuclear	5	CuA	0.32	96.2	CuB	0.43	93.8	4.2	2	20	0.51	0.830	0.51	CU	0.41	0.650	0.41	CU								
F9XCV9	mononuclear	5	CuA	0.46	95.2	CuB	0.53	91.6	3.8	3	22	0.66	0.880	0.66	CU	1.30	0.380	1.30	CU								
G1S3C9	binuclear	5	CuA	0.19	88.4	CuB	0.36	81.0	4.2	1	31	0.96	0.960	0.96	CU	4.95	0.960	4.95	CU								
G2QVS9	mononuclear	5	CuA	0.43	94.3	CuB	0.49	94.4	4.07	3	15	0.91	0.720	0.91	CU	0.27	0.570	0.27	CU								
G2YP57	mononuclear	5	CuA	0.40	94.0	CuB	0.47	91.4	3.68	2	28	0.70	0.890	0.70	CU	1.99	0.870	1.99	CU								
G3JPN7	mononuclear	5	CuA	0.55	97.0	CuB	0.50	94.6	3.91	2	17	0.65	0.950	0.65	CU	1.03	0.560	1.03	CU								
G3XUP5	mononuclear	5	CuA	0.55	76.4	CuB	0.32	70.7	4.44	4	26	0.53	0.740	0.53	CU	1.10	0.520	1.10	CU								
G4Z7X0	no_cu	1	CuB	2.08	68.9	neither		78.0	19.72	0	20			2.27	X			11.16	X								
G5A9J7	mononuclear	2	CuB	1.75	59.6	neither		46.8	26.76	0	21			1.59	X			9.37	X								
G5AB92	mononuclear	5	CuA	1.11	88.3	CuB	0.78	88.9	5.55	2	7	0.19	0.980	0.19	CU	1.49	0.770	1.49	CU								
G5ABA8	mononuclear	4	CuB	0.50	97.3	neither		62.9	26.17	1	26	0.14	0.980	0.14	CU	26.27	0.980	7.39	X	3.63	0.670	3.63	CU	1.20	0.910	1.20	CU
G5B168	binuclear	5	CuB	0.28	79.5	CuA	0.21	86.9	4.14	1	29	4.40	0.240	4.40	CU	1.16	0.240	1.16	CU								
H1UWR0	mononuclear	5	CuA	0.54	97.9	CuB	0.70	95.3	3.9	3	18	0.61	0.980	0.61	CU	0.86	0.800	0.86	CU								
H1VZE2	mononuclear	5	CuB	0.36	98.4	CuA	0.76	95.9	4.45	3	25	0.87	0.990	0.87	CU	0.73	0.460	0.73	CU								
H2KPL1	no_cu	4	CuB	1.67	90.1	CuA	1.03	90.4	6.23	1	32	5.08	0.680	2.31	X	1.19	0.680	1.19	CU								
H3GEM4	no_cu	2	neither		75.7	neither		59.9	40.39	0	25											8.07	X			7.69	X
I7CCR9	mononuclear	5	CuB	0.37	95.7	CuA	1.11	83.2	4.2	2	31	0.43	0.920	0.43	CU	2.09	0.590	2.09	CU								
K2RLK6	mononuclear	5	CuB	0.56	92.0	CuA	0.51	84.4	4.24	2	15	0.22	0.980	0.22	CU	1.13	0.710	1.13	CU								
K3WBN0	mononuclear	3	CuB	1.43	88.1	neither		69.7	22.22	0	27			0.20	X			0.87	X	20.81	0.350	5.50	X	17.48	0.350	2.61	X
L2FID8	mononuclear	5	CuA	0.24	95.5	CuB	0.41	91.6	4.06	4	21	1.60	0.220	1.60	CU	1.23	0.590	1.23	CU								
L2FNV4	mononuclear	5	CuB	0.55	95.7	CuA	0.49	88.9	4.19	4	22	1.39	0.990	1.39	CU	0.90	0.330	0.90	CU								
L2GEI1	mononuclear	5	CuA	0.57	97.7	CuB	0.62	94.3	4.08	2	16	0.34	0.920	0.34	CU	0.36	0.880	0.36	CU								
L8X5X1	mononuclear	5	CuB	0.51	75.4	CuA	0.77	70.0	4.25	2	19	0.41	0.990	0.41	CU	0.39	0.770	0.39	CU								
M1R095	no_cu	4	CuB	1.52	89.3	CuA	1.00	89.4	6.04	0	38			1.43	X			1.80	X								
M2MQZ6	mononuclear	5	CuA	0.40	91.8	CuB	0.41	92.0	3.72	3	29	0.70	0.870	0.70	CU	0.69	0.550	0.69	CU								
M2SQZ2	mononuclear	3	CuA	0.94	87.0	CuB	2.74	65.6	6.36	0	23			1.33	X			1.61	X								
M2YMY9	mononuclear	5	CuA	0.36	94.4	CuB	0.51	94.3	3.76	4	24	1.01	0.620	1.01	CU	1.08	0.650	1.08	CU								
M3C9Q8	binuclear	5	CuB	0.18	96.5	CuA	1.04	94.5	4.23	4	31	0.92	0.840	0.92	CU	0.37	0.960	0.37	CU								
M4C6D4	no_cu	2	CuA	0.56	65.0	neither		35.3	20.19	1	34	7.80	0.210	2.27	X	27.93	0.210	4.77	X								
M7UN52	mononuclear	5	CuA	0.50	96.8	CuB	1.33	83.7	5.3	1	17	0.36	0.940	0.36	CU	5.49	0.940	2.29	X								
N1RKC9	binuclear	5	CuB	0.23	97.1	CuA	0.67	89.7	4.07	1	18	0.42	0.990	0.42	CU	3.87	0.990	0.57	X								
N1S3E0	binuclear	5	CuB	0.49	95.6	CuA	0.51	89.7	4.19	2	18	0.59	0.950	0.59	CU	0.57	0.480	0.57	CU								
N1S8Q1	mononuclear	4	CuB	0.32	90.7	neither		79.1	14.37	1	14	0.27	0.990	0.27	CU	14.27	0.990	10.71	X	4.04	0.990	3.19	X	1.00	0.990	1.00	CU
N4TKR4	mononuclear	5	CuB	0.63	96.9	CuA	0.39	85.8	4.17	3	16	0.35	0.990	0.35	CU	1.26	0.950	1.26	CU								
N4X430	mononuclear	3	CuA	0.94	87.0	CuB	2.74	65.6	6.36	0	23			1.33	X			1.61	X								
P55022	mononuclear	5	CuB	0.28	96.6	CuA	0.56	92.2	3.79	2	17	0.59	0.810	0.59	CU	1.16	0.670	1.16	CU								
Q33CJ6	no_cu	1	CuB	1.18	53.7	neither		64.6	23.71	0	24			1.26	X			7.34	X								
R1D043	mononuclear	4	CuB	0.41	80.3	CuA	0.92	33.7	4.23	1	43	0.75	0.860	0.75	CU	3.98	0.860	1.02	X								
R1EXG5	mononuclear	5	CuB	0.54	94.4	CuA	0.43	88.2	4.08	2	10	0.24	0.950	0.24	CU	1.54	0.930	1.54	CU								
R7UB97	mononuclear	3	CuA	0.98	65.7	neither		56.9	30.88	0	57			0.57	X			0.73	X			0.85	X			4.20	X
R7YGC4	mononuclear	5	CuA	0.60	97.0	CuB	0.60	92.9	4.1	3	23	0.62	1.000	0.62	CU	1.92	0.300	1.92	CU								
S0DQZ0	mononuclear	5	CuA	0.29	96.5	CuB	0.38	95.5	3.77	3	30	0.47	0.990	0.47	CU	0.28	0.890	0.28	CU								
S3D1Q3	mononuclear	5	CuA	0.58	95.6	CuB	0.56	88.8	3.81	2	17	0.76	0.660	0.76	CU	1.80	0.620	1.80	CU								
T0KJ59	mononuclear	5	CuA	0.51	97.4	CuB	0.64	94.4	4.11	2	15	1.28	0.480	1.28	CU	0.31	0.930	0.31	CU								
T0KXU6	mononuclear	5	CuB	0.45	94.8	CuA	0.80	79.2	3.57	5	21	1.19	0.910	1.19	CU	1.64	0.920	1.64	CU								
T0PKY7	mononuclear	4	CuB	0.35	97.5	neither		69.1	15.55	1	23	1.11	0.750	1.11	CU	15.50	0.750	9.68	X	3.87	0.980	3.87	CU	0.95	0.980	0.95	CU
T0PU14	no_cu	1	neither		41.7	neither		26.5	55.21	0	47											8.09	X			7.14	X
T0QXV8	mononuclear	5	CuA	0.15	91.9	CuB	0.32	79.3	4.22	3	32	0.27	0.970	0.27	CU	1.40	0.650	1.40	CU								
T0S9R0	mononuclear	5	CuA	0.15	96.8	CuB	0.62	87.4	4.57	2	28	0.65	0.990	0.65	CU	1.94	0.630	1.03	X								
T5A6R2	mononuclear	5	CuB	0.19	92.2	CuA	0.60	77.4	3.95	3	27	0.35	0.810	0.35	CU	1.04	0.540	1.04	CU								
U3AIJ7	mononuclear	5	CuB	0.39	96.7	CuA	0.98	90.0	4.58	3	24	0.86	0.810	0.86	CU	0.51	0.960	0.51	CU								
U4K751	mononuclear	5	CuB	0.29	91.1	CuA	1.05	79.7	4.5	2	23	0.40	0.970	0.40	CU	1.54	0.950	1.54	CU								
V5FME0	mononuclear	5	CuA	0.64	95.7	CuB	0.41	90.6	4.08	1	22	0.29	0.990	0.29	CU	3.90	0.990	3.90	CU								
V9E917	no_cu	0	neither		64.3	neither		56.8	30.6	0	28			8.75	X			1.79	ZN								
V9EB77	no_cu	0	neither		65.5	neither		59.7	31.61	0	32			1.47	X			2.43	X								
V9EVI6	mononuclear	4	CuB	0.49	97.7	neither		72.8	21.96	1	24	0.27	0.910	0.27	CU	21.89	0.910	4.46	X	4.13	0.950	4.13	CU	0.76	0.890	0.76	CU
W2I6U4	no_cu	0	neither		64.3	neither		56.8	30.6	0	28			8.75	X			1.79	ZN								
W2I6Y9	no_cu	0	neither		65.5	neither		59.7	31.61	0	32			1.47	X			2.43	X								
W2IN56	mononuclear	4	CuB	0.49	97.7	neither		72.8	21.96	1	24	0.27	0.910	0.27	CU	21.89	0.910	4.46	X	4.13	0.950	4.13	CU	0.76	0.890	0.76	CU
W2KB90	no_cu	0	neither		61.9	neither		55.9	31.25	0	29											5.66	X			5.03	X
W2MH14	no_cu	1	neither		58.6	neither		59.8	41.68	0	27			3.36	X			2.69	X								
W2PMT3	no_cu	0	neither		68.4	neither		44.0	21.08	0	30											6.50	X			5.49	X
W2PPJ1	no_cu	0	neither		64.7	neither		56.1	31.27	0	32											4.95	X			3.70	X
W2PY30	mononuclear	4	CuB	0.48	97.7	neither		73.8	22.08	1	29	0.58	0.940	0.58	CU	22.07	0.940	1.82	X	3.73	0.660	3.73	CU	1.04	0.980	1.04	CU
W2W5P6	no_cu	0	neither		64.3	neither		56.8	30.6	0	28			8.75	X			1.79	ZN								
W2W6T1	no_cu	0	neither		65.5	neither		59.7	31.61	0	32			1.47	X			2.43	X								
W2WMR4	mononuclear	4	CuB	0.49	97.7	neither		72.8	21.96	1	24	0.27	0.910	0.27	CU	21.89	0.910	4.46	X	4.13	0.950	4.13	CU	0.76	0.890	0.76	CU
W2YEN6	no_cu	0	neither		61.9	neither		55.9	31.25	0	29											5.66	X			5.03	X
W2YF51	no_cu	1	neither		58.6	neither		59.8	41.68	0	27			3.36	X			2.69	X								
W2YZ31	mononuclear	4	CuB	0.49	97.7	neither		72.8	21.96	1	24	0.27	0.910	0.27	CU	21.89	0.910	4.46	X	4.13	0.950	4.13	CU	0.76	0.890	0.76	CU
W3WIK4	mononuclear	5	CuA	0.37	90.1	CuB	1.64	83.8	4.19	1	26	0.80	0.860	0.80	CU	4.59	0.860	4.59	CU								
W4GC36	mononuclear	3	CuB	0.34	95.4	neither		45.9	30.03	2	33	1.35	0.890	1.35	CU	28.90	0.890	16.82	X	4.55	0.960	4.55	CU	1.12	0.960	1.12	CU
W6ZD78	mononuclear	5	CuA	0.39	92.7	CuB	0.74	76.6	4.42	3	23	0.33	0.980	0.33	CU	0.70	0.400	0.70	CU								
W7F1D8	mononuclear	5	CuB	1.69	83.8	CuA	1.15	88.7	6.24	2	19	3.91	0.940	2.28	ZN	0.53	0.980	0.53	CU								
W7M987	mononuclear	5	CuA	0.32	97.0	CuB	0.48	94.6	3.88	3	22	0.34	0.960	0.34	CU	1.42	0.500	1.42	CU								
W7MLF2	mononuclear	4	CuA	0.71	94.9	CuB	0.50	63.6	4.41	2	20	0.36	0.980	0.36	CU	2.85	0.900	2.85	CU								
W9I5K7	mononuclear	5	CuB	0.46	97.8	CuA	0.40	90.3	4.08	3	21	1.03	0.860	1.03	CU	1.37	0.430	1.37	CU								
X0JGY5	binuclear	5	CuB	0.39	92.7	CuA	0.95	84.8	4.36	1	11	0.23	0.980	0.23	CU	4.33	0.980	0.47	X								
X8JBW1	no_cu	3	CuA	2.25	85.5	neither		64.3	4.25	1	21	0.42	0.620	0.42	CU	4.01	0.620	4.01	CU								
X8JFG5	no_cu	3	CuA	0.52	93.7	CuB	0.55	79.6	4.42	1	18	0.94	0.540	0.94	CU	3.48	0.540	1.88	X								
X8JFZ0	no_cu	1	neither		68.2	neither		77.7	38.63	0	24											1.66	X			2.44	X
